Title,Location,Experience Level,Job Schedule,Job Type,Brands,Job Category,Description,Reference,Expiry Date
Head Waiter,"SLS Dubai Hotel & Residences, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SLS,Food & Beverage,Ensure the day to day operation is smooth in the restaurantAssist the leadership team of the restaurant in achieving high guest satisfactionGuide and lead the server in the restaurantPerform the dutie,a654f19c-9979-4f47-bcb6-fffb447067e8,01/01/0001
Assistant Waitress,"SLS Dubai Hotel & Residences, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SLS,Food & Beverage,"Provide friendly, courteous, and professional service at all timesEnsure good communication with ManagementMaintain complete knowledge of all menu itemsPrepare and check tables before serviceClear and",baa6bc3b-a586-416f-b0b0-4b44b0026c9e,01/01/0001
F&B Captain,"Movenpick Resort Al Marjan Island, Ras Al-Khaimah, United Arab Emirates",Associate,Full-Time,Permanent,MOVENPICK,Food & Beverage,"F&B CaptainPassionate about guest interaction, food and beverage? As a Captain, you will lead your team to create unforgettable Food & Beverage experiences for our guests.What you will be doing:You'll",9a598ac6-7b0c-45ae-9dda-f4f07ec7cf0e,01/01/0001
F&B Supervisor,"Movenpick Resort Al Marjan Island, Ras Al-Khaimah, United Arab Emirates",Executive,Full-Time,Permanent,MOVENPICK,Food & Beverage,"F&B SupervisorPassionate about guest interaction, food and beverage? As a Supervisor, you will lead your team to create unforgettable Food & Beverage experiences for our guests.What you will be doing:",0ff3ada8-1f28-49e2-9fc7-eaf52a7db7f7,01/01/0001
Waitress,"ibis Dubai Al Barsha, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,IBIS,Food & Beverage,"The right Waiter/Waitress uplifts the dining experience for customers. We are looking for someone who will have the patience, personality, and perseverance to thrive in this role.What you will be doin",d816dcfb-96c2-4a26-badc-613fbe8fe175,01/01/0001
F&B Hostess,"Movenpick Resort Al Marjan Island, Ras Al-Khaimah, United Arab Emirates",Associate,Full-Time,Permanent,MOVENPICK,Food & Beverage,"Hostess 
You are an ambassador for the exceptional service and cuisine that are hallmarks of our food & beverage experience . Your warm, personal attention and knowledge of our outstanding offerings m",4b5a5f92-6e6e-4c12-b607-043ba1799c8d,01/01/0001
Stewarding Manager,"Sofitel Al Hamra Beach Resort, Ras Al-Khaimah, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,Accor,Food & Beverage,To ensure that breakages are administrated in order to provide constant feedback to the operation as a tool to reduce breakages and losses.To strictly adhere to the established operating expenses and,20ed8b56-24c2-4f8b-937d-fd9f21b72ce9,01/01/0001
Barista - Arabic Speaker,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,What you will be doing:Maintain available to provide assistance for any matter related to making the stay of the hotel guest a pleasant and memorable oneWelcome guest upon arrivalEscort guest to their,a0276b8c-b5d4-49e1-9382-f5fa090d1be7,01/01/0001
Stewarding Attendant,"Novotel Deira Creekside Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,NOVOTEL,Food & Beverage,"Stewarding Attendant 
Do you have a heart to serve and love being part of a team? As a Stewarding Attendant, you will assist in the execution of memorable Food and beverage experiences for our guests.",cf59f2e9-b601-4d2b-81bb-472de9154dbc,01/01/0001
F&B Marketing Executive,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,"THE POSITIONThis role is to supports the Food & Beverage department in carrying out various strategies and tasks. Compiles, analyses, and reports. This position will appeal to a highly motivated, flex",97698e68-e6da-429d-897c-33af7987dadd,01/01/0001
Waiter/Waitress - Porterhouse,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To be familiar with all food and beverage items on the outlet menu.To prepare the outlet for operation, including mise-en-place, setting and resetting tables, light cleaning and other assigned tasks.T",24014b8a-8303-424e-b0e5-be6dc71b825c,01/01/0001
F&B Attendant (Waiter/Waitress),"Novotel World Trade Centre Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,NOVOTEL,Food & Beverage,Greet and serve customers in a friendly and professional manner.Take food and beverage orders and relay them to the kitchen or bar staff.Serve food and beverages to guests and ensure orders are accura,a55f10ce-90a7-4188-b4d6-f7844eabeaac,01/01/0001
Waiter/ Waitress,"Novotel Abu Dhabi Gate, Abu Dhabi, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,We are seeking a dynamic and talented Waiter/Waitress to join our team in the hotel industry in the UAE. The Waiter/Waitress will be responsible to the following key job responsibilities:To report for,eae7dafc-cdc6-43eb-9cde-48704db0c4f6,01/01/0001
Hostess - Brasserie Boulud,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,The PositionTo provide an appropriate welcome at F&B Outlets for guests. To handle table reservations and effectively control the flow of guests.KEY ROLES & RESPONSIBILITIESProvide a warm and friendly,7cd99005-d459-4a95-94cf-ad4f6ab037aa,01/01/0001
Bartender - Brasserie Boulud,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,The PositionTo provide prompt and courteous drink orders either taken directly from guests and patrons at the bar or through the bar servers.KEY ROLES & RESPONSIBILITIESRead daily events to be aware o,87f015d9-440e-4f08-9964-eebf114c33f4,01/01/0001
Waiter/Waitress - The World Eatery,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To be familiar with all food and beverage items on the outlet menu.To prepare the outlet for operation, including mise-en-place, setting and resetting tables, light cleaning and other assigned tasks.T",522cadd9-e16f-494c-a36f-8bc220819ea8,01/01/0001
Bartender - Laguna,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To serve guests in accordance with Sofitel standards of food and beverage quality, presentation and sanitation, in a gracious and professional manner.To take pride in all facets of service, quality, a",d46b567a-cc4b-4d9a-8ee3-d89bf6e0539e,01/01/0001
Waiter/Waitress - Laguna,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To be familiar with all food and beverage items on the outlet menu.To prepare the outlet for operation, including mise-en-place, setting and resetting tables, light cleaning and other assigned tasks.T",d0cb6be1-6109-479a-8dae-c9d9d5ed8338,01/01/0001
Bartender - Maui,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To serve guests in accordance with Sofitel standards of food and beverage quality, presentation and sanitation, in a gracious and professional manner.To take pride in all facets of service, quality, a",a525c086-a6e2-47ee-9108-9c6fe9733878,01/01/0001
Steward,"Grand Mercure Dubai City, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,"This position is responsible to ensures a clean and safe environment in the kitchen by cleaning dishes, cooking utensils, equipment etc.Work with Culinary and Food and Beverage Service Team to support",cb4ab83c-d512-46bb-9719-149596ddd05b,01/01/0001
Waitress,"Raffles Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,RAFFLES,Food & Beverage,"PURPOSE OF POSITIONTo work together with the support of colleagues and superiors to create a luxurious and professional F&B experience for our guests. To remain motivated, efficient and guest centric",899f08ab-a5a8-4039-8dd1-6f1503dbc873,01/01/0001
Waiter/Waitress - Maui,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To be familiar with all food and beverage items on the outlet menu.To prepare the outlet for operation, including mise-en-place, setting and resetting tables, light cleaning and other assigned tasks.T",8dac752a-9632-435e-a42e-d1399eeb0f6f,01/01/0001
Food & Beverage Supervisor - Porterhouse,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"Day to day, your responsibilities will include but not be limited to:Effectively handle guest complaintsAssist with rostering, taking into consideration forecast, wage cost, staff requests etcEnsure s",9f68a965-a513-4247-b228-80d5911471f5,01/01/0001
Waiter/Waitress - Moana,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To be familiar with all food and beverage items on the outlet menu.To prepare the outlet for operation, including mise-en-place, setting and resetting tables, light cleaning and other assigned tasks.T",0cd29731-eeb0-4791-a574-d3dc88a974a3,01/01/0001
Waiter/s,"ibis Deira Creekside Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,IBIS,Food & Beverage,"Waiter/s 
You are an ambassador for the exceptional service and cuisine that are hallmarks of our food & beverage experience. Your warm, personal attention and knowledge of our outstanding offerings m",fdd3fb74-b000-4b41-8bc6-e827924f7310,01/01/0001
Restaurant General Manager,"Banyan Tree Dubai, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,BANYAN TREE,Food & Beverage,"Summary: 
The Restaurant General Manager will be responsible to lead our team and oversee all aspects of our restaurant operations. As a key leader, you will be responsible for ensuring exceptional gu",e3036285-a7ca-4b08-b2a1-a55aa5f393fc,01/01/0001
"Assistant Manager, Pool & Beach","Banyan Tree Dubai, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,BANYAN TREE,Food & Beverage,"Summary: 
The Assistant Manager, Pool & Beach is pivotal in ensuring exceptional guest experiences at our poolside and beach areas. The Assistant Manager, Pool & Beach will support the Pool & Beach Ma",5581c93a-4ce8-4d0f-8fcd-fed8d1fca2fc,01/01/0001
Food & Beverage Operations Manager,"Banyan Tree Dubai, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,BANYAN TREE,Food & Beverage,"Summary: 
As the Food & Beverage Operations Manager at Banyan Tree Dubai, you will play a pivotal role in overseeing all operational aspects of the hotel's food and beverage offerings. Your responsibi",7e10b39a-6b0a-4ab8-857c-f300f1dfd5ed,01/01/0001
Waiter/s,"Novotel Suites Mall Avenue Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,NOVOTEL,Food & Beverage,"Waiter/s 
You are an ambassador for the exceptional service and cuisine that are hallmarks of our food & beverage experience. Your warm, personal attention and knowledge of our outstanding offerings m",4f391034-729d-4b42-a402-1d0d6ac92917,01/01/0001
Director of Food & Beverage,"Fairmont Bab Al Bahr - Abu Dhabi, Abu Dhabi, United Arab Emirates",Associate,Full-Time,Permanent,FAIRMONT,Food & Beverage,Maintains standards of food and beverage quality and guest service quality.Achieves budgeted/forecasted revenues and expenses and maximizes profitability related to the food and beverage department.Co,15a2b4aa-de15-40a7-a025-7f1842d9a688,01/01/0001
Director of Culinary,"Sofitel Al Hamra Beach Resort, Ras Al-Khaimah, United Arab Emirates",Director,Full-Time,Permanent,Accor,Food & Beverage,Responsible for the direction and coordination of all food preparation and presentation functions carried out in all the kitchens.Confers with Director of Food & Beverage to design daily restaurant me,fca91edd-c232-49cc-94d9-56d48eef7593,01/01/0001
Waiter/ Waitress,"ibis Styles Dubai Deira, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,IBIS STYLES,Food & Beverage,"The Role:Serves Food & Beverage to the guests in the assigned station / place of work in a courteous, professional, efficient and flexible manner consistent with established performance and productivi",0fa42b3e-0933-4c31-aa7c-aa3378eb24b8,01/01/0001
Banquet Supervisor,"Swissôtel Al Murooj Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SWISSOTEL,Food & Beverage,The Role- To ensure that the Banquet Operation/Events are managed efficiently according to the established concept statements.- To ensure that all operating standards are adhered to in order to achiev,13f4e017-341a-4f17-ae8d-b940e9b8f9a7,01/01/0001
Stewarding Supervisor,"Fairmont Fujairah Beach Resort, Dibba Al-Fujairah, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Stewarding Supervisor 
Do you have a heart to serve and love being part of a team? As Stewarding Supervisor you will assist in the execution of memorable Food & Beverage experiences for our guests.Wha",09b7b364-2dd6-44ae-b525-fc695be34f80,01/01/0001
Server (Monkey Bar),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,How does your working day look like …You’ll have a complete knowledge of all food & beverage menus / wine lists and other food and beverage products in details and be able to advise guests accordingly,8a540d15-d660-4b56-9e04-f35e18f444ee,01/01/0001
Waiter,"Grand Mercure Dubai City, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,"Main Duties: To provide a courteous, professional, efficient and flexible service at all times.To be entirely flexible and adapt to rotate within the different sub departments of the Food & Beverage D",a34ca99f-e365-466f-a6f7-e7f475c975ab,01/01/0001
Hostess (Monkey Bar),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,"How does your working day look like …You'll supervise the hostesses team make sure that guests aren’t just contented, but enthusiasticYou'll be in charge of the restaurant reservationsYou’ll always ke",da8f9a75-b081-40b9-90d1-aaf38268dc04,01/01/0001
Assistant Server (Monkey Bar),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,"How does your working day look like …You’ll be responsible for doing all preparations before and during service, like preparing serving cutlery and breadbaskets.You’ll coordinate the orders in a way t",aab5fc84-f60b-4cef-a8c7-f97e267bbce3,01/01/0001
Head Waiter/Waitress (Monkey Bar),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,"How does your working day look like …The Head Waiter is responsible for maintaining great service to all guests, planning and organising tasks, people and supplies, act as a representative of the comp",940afa36-96a1-4681-8374-f1a481e80500,01/01/0001
Intern â Front Office,"Raffles The Palm Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Temporary,RAFFLES,Food & Beverage,"Meet and greet guests as they arrive to the hotel.Register and room all guest arrivals according to established procedures.Perform check in, check out and room change procedures and ensure all data ar",9ae8cf57-3944-484f-9206-2998b3d53d07,01/01/0001
Server (All-Day Dining),"Fairmont Fujairah Beach Resort, Dibba Al-Fujairah, United Arab Emirates",Associate,Full-Time,Permanent,FAIRMONT,Food & Beverage,"Server 
You are an ambassador for the exceptional service and cuisine that are hallmarks of our food & beverage experience. Your warm, personal attention and knowledge of our outstanding offerings mak",7b65b52a-ac04-4967-9169-b2b45b8fe544,01/01/0001
Commis II - Butchery,"Mövenpick Hotel & Apartments Bur Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"The RoleTo supervise the assigned station / section, produce a consistent, high-quality product, ensure a courteous, professional, efficient and flexible service consistent with Accor Standards Polici",bf2bfc05-a5cb-434a-9736-3843f7ce3651,01/01/0001
Hostess - Laguna,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"Maintain complete knowledge of: Dining layout, table/seat/section numbers, proper table setups, room   capacity, hours of operation, price range and dress codeRestaurant reservation proceduresDaily ho",3214bea5-3dcc-4493-96c5-52e8e4b448ab,01/01/0001
Bartender,"RIXOS RIXOS RAS AL KHAIMA, Ras Al-Khaimah, United Arab Emirates",Entry Level,Full-Time,Permanent,RIXOS,Food & Beverage,JOB DESCRIPTIONWe are an exceptionally unique brand that offers more than just a product; we provide an unparalleled experience that aims to create lasting impressions in the hospitality industry. We,0d7ac059-555a-4d05-92b1-d6f72047091b,01/01/0001
Outlet Manager (All Day Dining & In-Room Dining),"Fairmont The Palm, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,FAIRMONT,Food & Beverage,"Oversees the dining area, supervises food and beverage service staff in accordance with operating policies that he or she may help establish.Incorporate duties specific to In-Room Dining management, e",2f93c599-5b69-4224-ac85-77f91a6fc0af,01/01/0001
Hostess,"RIXOS RIXOS RAS AL KHAIMA, Ras Al-Khaimah, United Arab Emirates",Entry Level,Full-Time,Permanent,RIXOS,Food & Beverage,JOB DESCRIPTIONWe are an exceptionally unique brand that offers more than just a product; we provide an unparalleled experience that aims to create lasting impressions in the hospitality industry. We,b203ccbc-99b3-4ac6-9c1b-f5b8c4ab18ac,01/01/0001
Waiter,"RIXOS RIXOS RAS AL KHAIMA, Ras Al-Khaimah, United Arab Emirates",Entry Level,Full-Time,Permanent,RIXOS,Food & Beverage,JOB DESCRIPTIONWe are an exceptionally unique brand that offers more than just a product; we provide an unparalleled experience that aims to create lasting impressions in the hospitality industry. We,68b5510a-7a11-4b73-a120-0afd956c84cc,01/01/0001
Bartender - Raffles Club,"Raffles The Palm Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,RAFFLES,Food & Beverage,"Read daily events to be aware of any VIP arrivals. Must have a complete working knowledge of bar items, ingredients and preparationEnsure all details of service are performed properly for every guestT",af2a46c3-b3c7-43ca-826f-0a3307e12846,01/01/0001
Food & Beverage Reservations Agent,"Fairmont The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,FAIRMONT,Food & Beverage,"Consistently offer professional, friendly and engaging service.Book and enter Dining reservation requests using computerized reservation system.Manage follow-up communications with guests to confirm r",ec12d785-a016-4100-b42e-08b44d03606e,01/01/0001
Waiter/Waitress - Premier Lounge,"Sofitel Dubai The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To be familiar with all food and beverage items on the outlet menu.To prepare the outlet for operation, including mise-en-place, setting and resetting tables, light cleaning and other assigned tasks.T",748d8b4e-ddb1-4e36-85de-9c0a12b0ae64,01/01/0001
Waiter,"Adagio Premium The Palm, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,ADAGIO,Food & Beverage,"Main Duties:To provide a courteous, professional, efficient and flexible service at all times.To be entirely flexible and adapt to rotate within the different sub departments of the Food & Beverage De",606849f0-bf46-46c0-98cc-4fd190a1aa5d,01/01/0001
Join our Food & Beverage team at DELANO Dubai!,"Delano Dubai (Opening October 2024), Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,Delano,Food & Beverage,Join our Food & Beverage team at DELANO Dubai -Restaurant - SupervisorWaiterRunnerHead HostessHostessPool & Beach - SupervisorWaiterRunnerHead HostessHostessBar - SommelierHead Bartender BartenderHead,fb4cae24-2bf0-43e2-9cf9-ad80585c7eb1,01/01/0001
Head Bartender (Flying Elephant),"Novotel Dubai Al Barsha, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,NOVOTEL,Food & Beverage,"We’re on the lookout for a Head Bartender to shake things up as part of team. You'll be a key player in crafting our awesome beverage line-up and making our place a total hit. Your leadership, creativ",9bf47ae0-44f9-4b71-a13a-f9c25c97787e,01/01/0001
Waiter - IRD,"Raffles The Palm Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,RAFFLES,Food & Beverage,"To provide prompt and courteous F&B service to the Hotel’s guests.Read daily events, to acknowledge any VIP’s arrivals.Must know all menu items, their garnishes, contents and preparation methods and b",43bc66f5-6434-4231-8456-19b5ef390b84,01/01/0001
Outlet Manager - In-Room Dining,"Raffles The Palm Dubai, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,RAFFLES,Food & Beverage,"Motivate, discipline, direct and supervise the work of all employees in In-Room DiningDevelop and maintain training programs to ensure a high degree of staff professionalismManage day-to-day operation",3a2af798-10bb-4704-8291-70e34bd70504,01/01/0001
Restaurant Manager - Brasserie Boulud,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"Brasserie bouludBringing the true meaning of ‘gastronomie francaise’ to Dubai, Brasserie Boulud serves simple, fresh and seasonal dishes, hand crafted to create authentic and appetizing experiences. I",5253421e-77b1-4e69-97de-4fdd665db0e8,01/01/0001
Sous Chef (Flying Elephant),"Novotel Dubai Al Barsha, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,NOVOTEL,Food & Beverage,"Assist the Executive Chef in menu planning, recipe development, and food preparation at the Flying Elephant, the destination for mystical mixology where Indian-influenced cocktails meet contemporary D",98d802ad-122d-4221-b545-21780a937090,01/01/0001
Restaurant Manager - The Nine (British Gastropub),"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"The PositionTo manage the overall operation of the restaurant, following established objectives for the highest standards in professional management and administration as well as in effective and fair",534eb794-13b7-4db4-bcac-10da5299ba61,01/01/0001
Restaurant Manager - The Nine (British Gastropub),"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"The PositionTo manage the overall operation of the restaurant, following established objectives for the highest standards in professional management and administration as well as in effective and fair",534eb794-13b7-4db4-bcac-10da5299ba61,01/01/0001
Restaurant Supervisor,"Raffles Dubai, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,RAFFLES,Food & Beverage,PURPOSE OF POSITIONTo ensure the smooth conduct of the shift through customer-focused service delivery and effective staff supervision. To assist management in running the outlet ensuring maximum gues,17aa6793-88fa-4273-88cb-862da541290f,01/01/0001
Assistant Banquets Manager,"Raffles Dubai, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,RAFFLES,Food & Beverage,"PURPOSE OF POSITIONTo take responsibility for coordinating and managing the operation, to ensure customer satisfaction and maximizing revenue, resources and effective controlKEY ROLES & RESPONSIBILITI",7871a256-3c5a-4f68-833c-90e80cb0b305,01/01/0001
Bartender - British Gastropub,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,The PositionTo provide prompt and courteous drink orders either taken directly from guests and patrons at the bar or through the bar servers.KEY ROLES & RESPONSIBILITIESRead daily events to be aware o,7b3fe4b6-a020-44f8-bf55-1779e38e44e5,01/01/0001
Outlet Cashier - British Gastropub,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,"Perform returns and special transactions through the POS system, ensuring all special offers have been applied correctly before being charged to the guestKeep the “register station” stocked with all n",ff6b704d-149a-437c-b56f-77473b5a47dc,01/01/0001
Bartender,"Queen Elizabeth 2, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Create, mix and serve alcoholic beverages and food to guests.Ensure proper storage of liquor, fruit and equipment.Plan drink menus and inform guests about new beverages and specials.Record inventory a",09aaba7a-f150-47f6-9621-30214188c4ce,01/01/0001
Bartender (Flying Elephant),"Novotel Dubai Al Barsha, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,"Join our dynamic team as a Bartender at Flying Elephant, where every pour is a performance and every guest is a VIP! We’re looking for someone with a passion for mixology and a flair for customer serv",2ed93db4-32b2-4b52-9be8-8f2d9ecb0cbd,01/01/0001
Barman,"Queen Elizabeth 2, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,M GALLERY,Food & Beverage,"Assist the Bartender to open and close the bar. Ensure the bar is well stocked with liquor, beer, spirits, garnishes, ice cubes and other products needed throughout their shift. Maintain inventory of",7e2c3cb8-c0cb-4493-9ea3-5321a354aea0,01/01/0001
Waiter/ Waitress,"Novotel Abu Dhabi Gate, Abu Dhabi, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,We are seeking a dynamic and talented Waiter/Waitress to join our team in the hotel industry in the UAE. The Waiter/Waitress will be responsible to the following key job responsibilities:To report for,99951c53-d8af-4920-b9e1-2b0cd372002c,01/01/0001
Barman,"Queen Elizabeth 2, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Assist the Bartender to open and close the bar. Ensure the bar is well stocked with liquor, beer, spirits, garnishes, ice cubes and other products needed throughout their shift. Maintain inventory of",68550b23-e01a-4421-a8cb-dac4291212fb,01/01/0001
Waiter/Waitress,"Sofitel Dubai Jumeirah Beach, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,"MAIN DUTIES:To provide a courteous, professional, efficient and flexible service at all times, following Sofitel Dubai Jumeirah Beach Standards of Performance.To be entirely flexible and adapt to rota",62b4bbf0-b982-4a37-ac5f-9c92f6b337c8,01/01/0001
Waiter / Waitress,"Sofitel Dubai Jumeirah Beach, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,"MAIN DUTIES:To provide a courteous, professional, efficient and flexible service at all times, following Sofitel Dubai Jumeirah Beach Standards of Performance.To be entirely flexible and adapt to rota",96e31275-7cc2-4bb0-86b9-ec3b83a4167e,01/01/0001
Hostess,"Raffles Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,RAFFLES,Food & Beverage,"PURPOSE OF POSITION 
To provide an appropriate welcome at F&B Outlets for guests. To handle table reservations and effectively control the flow of guests. 
KEY ROLES & RESPONSIBILITIES 
• Provide a wa",9de6559d-af5a-4c73-92a0-393e0225153f,01/01/0001
Waitress,"Novotel Bur Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,NOVOTEL,Food & Beverage,"The PositionTo provide prompt and courteous F&B service to the Hotel’s guests. KEY ROLES & RESPONSIBILITIESRead daily events, to acknowledge any VIP’s arrivals.Must know all menu items, their garnishe",3c4444e8-43da-48ef-abc2-358d3e8dfc16,01/01/0001
Outlets Manager,", Dubai, United Arab Emirates",Associate,Full-Time,Permanent,NOVOTEL,Food & Beverage,Manage and coordinate daily Front of the House and Heart of the House operations with right delegationLong Term planning to create initiatives that furthers the outlet overall goalAssessing and analy,2242cd98-f9a1-4b4f-9bc4-3fbfb902c910,01/01/0001
