Title,Location,Experience Level,Job Schedule,Job Type,Brands,Job Category,Description,Reference,Expiry Date
Hostess - SO / Uptown Dubai,", Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SO/,Food & Beverage,"First impressions are everything. When guests arrive at our hotels, we want that impression to be memorable. The same goes for departures. When guests leave, we want them to go with a smile and a feel",bdb23f11-d045-4c20-b8ba-d6d00b3833ea,01/01/0001
Commis,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"He/she will have to prepare their own inventory list for their station.He/she should have the ability, knowledge and skill to fill in for another chef when he or she is absent from another station. Th",6a969f4c-4694-4ba5-9b20-8a8dfa876593,01/01/0001
Waiter - SO/ Uptown Dubai,"SO/ Uptown Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,SO/,Food & Beverage,"First impressions are everything. When guests come and dine in our hotels, we want that impression to be memorable, leaving them with a smile and a feeling that we were there for them throughout their",a8c53a5c-1f81-4f01-85b0-3d073f9d9998,01/01/0001
Bar Manager,"Swissôtel Al Murooj Dubai, Dubai, United Arab Emirates",Executive,Full-Time,Permanent,SWISSOTEL,Food & Beverage,"Bar ManagerPassionate about guest interaction, food and beverage? Bar Manager, you will deliver unforgettable Food & Beverage experiences for our guests.What you will be doing:Works in close cooperati",75da609e-8928-41c2-a25e-1897df92a7eb,01/01/0001
Waiter/Waitress - Club Lounge,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,"The PositionTo provide prompt and courteous F&B service to the Hotel’s guests. KEY ROLES & RESPONSIBILITIESRead daily events, to acknowledge any VIP’s arrivals.Must know all menu items, their garnishe",43be254a-82f9-4641-9b49-6f411842d614,01/01/0001
Barista - Club Lounge,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,"The PositionTo provide prompt and courteous F&B service to the Hotel’s guests.KEY ROLES & RESPONSIBILITIESWelcoming customers, informing them about specials or new items, answering questions, and acce",4e7974db-edaf-4275-8113-8af738e1c4ba,01/01/0001
Hostess - Asian Restaurant,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,The PositionTo provide an appropriate welcome at F&B Outlets for guests. To handle table reservations and effectively control the flow of guests. KEY ROLES & RESPONSIBILITIESProvide a warm and friendl,9380e0c6-17fb-413a-8607-a6c50d2ddd67,01/01/0001
Hostess - All Day Dining,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,The PositionTo provide an appropriate welcome at F&B Outlets for guests. To handle table reservations and effectively control the flow of guests.KEY ROLES & RESPONSIBILITIESProvide a warm and friendly,6fa64170-d86c-47c0-a6e4-0f8705220862,01/01/0001
Waiter/Waitress - Brasserie Boulud,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,"brasserie bouludBringing the true meaning of ‘gastronomie francaise’ to Dubai, Brasserie Boulud serves simple, fresh and seasonal dishes, hand crafted to create authentic and appetizing experiences. I",56f0f3f8-82e7-4eb3-a2f3-6d23ff89e5c4,01/01/0001
Server (Nomad),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,"We are currently looking for Server (Nomad), who will be responsible for creating gastronomic sensations to join the tribe of 25hours Dubai One Central. Nomad Day Bar is an all-day café operated by aw",62830741-c9d7-4a8a-999b-6bba09557303,01/01/0001
Waiter / Waitress,"Sofitel Al Hamra Beach Resort, Ras Al-Khaimah, United Arab Emirates",Entry Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To provide a courteous, professional, efficient and flexible service at all times, following the hotel F&B operation standards manual.To undertake any reasonable tasks and secondary duties as assigned",f5331b94-7eb4-4e7a-bca3-4b1c357bb0c1,01/01/0001
Food & Beverage Supervisor,"Sofitel Queenstown - Hotel & Spa, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,M GALLERY,Food & Beverage,"Checking in on dining customers to enquire about food quality and service.Conduct checks to ensure that enough products are on hand to serve customers, order items as needed, and generate inventory re",582f2d69-4ed1-47b7-8630-26352b941cd1,01/01/0001
Waitress - Banquets,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,The PositionTo provide prompt and courteous F&B service to the Hotel’s guests.KEY ROLES & RESPONSIBILITIESTo report for duty punctually wearing the correct uniform with name badge and palm pin at all,88b49421-fb24-437a-92b8-370fbcba3040,01/01/0001
Bar Supervisor - Cigar Room,"Fairmont The Palm, Dubai, United Arab Emirates",Executive,Full-Time,Permanent,FAIRMONT,Food & Beverage,Always greets and welcomes guests promptly in a warm and friendly manner.Always thanks and gives fond farewell to guests conveying anticipation for their next visit.Assists guest with table reservatio,5d284f5a-bb2b-4c83-bebc-db634b64b7eb,01/01/0001
Food & Beverage Attendant,"Queen Elizabeth 2, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,M GALLERY,Food & Beverage,"Assist guests regarding menu items in an informative and helpful wayHave full knowledge of food & beverage lists, promotions, menu items and preparation methodsFollow all safety and sanitation policie",7e7b43d7-1b78-43c9-8928-2fa843fae0ed,01/01/0001
Mixologist - Turkish Speaker,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,The Mixologist position in a hotel is a dynamic role encompassing the art of crafting diverse and innovative cocktails while ensuring a seamless bar operation. A Mixologist goes beyond traditional bar,e9f47d4d-f2b7-4f8c-82e3-72a991c6ce55,01/01/0001
Captain - Lobby Cafe- Arabic Speaker Required,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"THE POSITIONBeing in charge of his/her own section & to provide prompt and courteous F&B service to the Restaurant guestsKEY ROLES & RESPONSIBILITIESMust know all menu items, their garnishes, contents",811b3e34-5e19-4160-a508-cfa568a6befc,01/01/0001
F&B Captain - Brasserie Boulud,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,"The PositionBeing in charge of his/her own section & to provide prompt and courteous F&B service to the Restaurant guestsKEY ROLES & RESPONSIBILITIESMust know all menu items, their garnishes, contents",eff06557-8f37-4afb-8261-80a374b09137,01/01/0001
Sommelier,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Not Applicable,Full-Time,Permanent,Accor,Food & Beverage,"The PositionTo control the hotel’s wine dispensary, keeping a tight stock control, maximizing revenue and ensuring high quality guest service. Assist guests with wine and beverage pairing to complemen",7f4c69e0-926a-4727-ac7b-5e50b74af370,01/01/0001
Assistant Outlet Manager - In Room Dinning,"Fairmont The Palm, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,FAIRMONT,Food & Beverage,Oversees all aspects of the daily operation of the hotel’s Room Service operation.Supervises all Room Service personnel.Responds to guest complaints in a timely manner.Works with other outlets manager,278fe70b-ec85-44e6-9509-d8f95cd04f09,01/01/0001
Outlet Manager - Russian Speaker,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Assist in formulating the Annual Operating Budget for outlet revenues, expenses, and equipment.Ensure monthly forecasted food and beverage revenue targets are met.Adhere to established operating expen",14969b69-6a66-4ee6-a5ed-efdd3fcd0524,01/01/0001
F&B Supervisor - Asian Restaurant,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,SOFITEL,Food & Beverage,To ensure the smooth conduct of the shift through customer-focused service delivery and effective staff supervision. To assist management in running the outlet ensuring maximum guest satisfaction and,a59b99be-cc22-42e9-b444-0950f141bf39,01/01/0001
Assistant Outlet Manager - Asian Restaurant,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,SOFITEL,Food & Beverage,"To manage the overall operation of the restaurant, following established objectives for the highest standards in professional management and administration as well as in effective and fair personnel d",8d9830e2-4de8-45b7-a478-89cd5fa289a4,01/01/0001
Food & Beverage Attendant,"Queen Elizabeth 2, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Assist guests regarding menu items in an informative and helpful wayHave full knowledge of food & beverage lists, promotions, menu items and preparation methodsFollow all safety and sanitation policie",3cc27a44-d76b-4316-b592-f37857c80863,01/01/0001
Server,"Fairmont Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,FAIRMONT,Food & Beverage,"The Food & Beverage Server will provide our Guests with warm and efficient service within our Food & Beverage Outlets. Taking food and beverage orders, offering suggestions and ensuring the quality of",1431ebbe-c042-4f7f-baf3-50bb4fe5b8ac,01/01/0001
EN - Stewarding Attendant,"Majlis Grand Mercure Residence Abu Dhabi, Abu Dhabi, United Arab Emirates",Associate,Full-Time,Permanent,GRAND MERCURE,Food & Beverage,"Stewarding Supervisor 
Do you have a heart to serve and love being part of a team? As Stewarding Supervisor, you will assist in the execution of memorable Food & Beverage experiences for our guests.",e7694e75-090d-4d68-9f78-09a6e1a6d57e,01/01/0001
F&B Butler - Russian Speaker,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,Maintain available to provide assistance for any matter related to making the stay of Hotel guests a pleasant and memorable one.Coordinate with Room Service the delivery of fruits for VIP guests and p,7f8fd51d-dd6e-45dd-a300-27674126dac0,01/01/0001
Waiter/Waitress - Asian Restaurant,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,"The PositionTo provide prompt and courteous F&B service to the Hotel’s guests.KEY ROLES & RESPONSIBILITIESRead daily events, to acknowledge any VIP’s arrivals.Must know all menu items, their garnishes",1dadbad6-e4cb-4ba3-925b-72b8df4720d0,01/01/0001
Captain - Asian Restaurant,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Not Applicable,Full-Time,Permanent,SOFITEL,Food & Beverage,"THE POSITIONBeing in charge of his/her own section & to provide prompt and courteous F&B service to the Restaurant guestsKEY ROLES & RESPONSIBILITIESMust know all menu items, their garnishes, contents",794000a3-9ddd-4f1f-b172-8d4fdf9722c0,01/01/0001
F&B Attendant,", Abu Dhabi, United Arab Emirates",Associate,Full-Time,Permanent,FAIRMONT,Food & Beverage,Welcomes guests and provides a high standard of restaurant service.Contributes globally to guest satisfaction through the quality of his/her work and exemplary behaviour.Helps increase the restaurant,f409d651-52b1-4058-994c-436e01e5e68c,01/01/0001
Bartender,"RIXOS RIXOS RESIDENCES ABU DHABI, Abu Dhabi, United Arab Emirates",Entry Level,Full-Time,Permanent,Accor,Food & Beverage,"Bartender 
An exciting opportunity has arisen for a Bartender to join Club Privé Rixos Premium Saadiyat Island.activities, like Planet 21.What you will be doing:Have extensive knowledge of beverage li",e72b690f-3bf6-4697-94e1-bbbb21c53bc3,01/01/0001
Club Millesime Manager,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Not Applicable,Full-Time,Permanent,SOFITEL,Food & Beverage,The PositionTo assist to oversee and direct all aspects of the Sofitel Club lounge functions to achieve the highest possible guest satisfaction to current and future VIPs. This position also assists t,3b27436f-a06c-4ffd-8733-5ea55abb1370,01/01/0001
Hostess - Arabic Speaker,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Consistently offer a professional and friendly greeting, and provide engaging serviceAssist guests regarding food and beverage menu items in an informative and helpful wayFollow outlet policies, proce",be1a2ed1-81df-450e-b6ed-9a8be13e48ed,01/01/0001
Hostess,"Fairmont The Palm, The Palm Jumeirah, United Arab Emirates",Associate,Full-Time,Permanent,FAIRMONT,Food & Beverage,"Check the reservation system and in-house guest information for the next meal period.Notify the supervisor of any large group bookings or any reservations with special request, VIP etc..Distribute res",651d5fc3-b61a-45b8-90be-8b87c079866f,01/01/0001
Waiter/Waitress - The Nine,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Not Applicable,Full-Time,Permanent,SOFITEL,Food & Beverage,The PositionTo provide prompt and courteous F&B service to the Hotel’s guests.KEY ROLES & RESPONSIBILITIESTo report for duty punctually wearing the correct uniform with name badge and palm pin at all,f2b2e6af-338a-4681-a86c-2b8eff11084f,01/01/0001
Hostess,"Rixos Bab Al Bahr, Ras Al-Khaimah, United Arab Emirates",Associate,Full-Time,Permanent,RIXOS,Food & Beverage,"Reporting to the Outlet Manager / Assistant Manager, responsibilities and essential job functions include but are not limited to the following:         Consistently offer professional, friendly and pr",d5e61487-8b97-41e5-9161-9932a6f106d8,01/01/0001
Bartender,"Rixos Bab Al Bahr, Ras Al-Khaimah, United Arab Emirates",Associate,Full-Time,Permanent,RIXOS,Food & Beverage,"A Bartender at Rixos Bab Al Bahr is responsible for the development and creation of all specialty drinks. Our Bartenders take pride in each drink that leaves their bar; with a critical eye for detail,",8ae13b06-054c-48f0-b63d-a74568e72bc2,01/01/0001
Waiter/Waitress,"Raffles The Palm Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,RAFFLES,Food & Beverage,"Read daily events, to acknowledge any VIP’s arrivals.Must know all menu items, their garnishes, contents and preparation methods and be able to relay that information to guests in a polite and concise",4f80c403-36e2-4f92-96f0-a84a2c9b5125,01/01/0001
Bartender - Asian Restaurant,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,SOFITEL,Food & Beverage,The PositionTo provide prompt and courteous drink orders either taken directly from guests and patrons at the bar or through the bar servers. KEY ROLES & RESPONSIBILITIESRead daily events to be aware,619e9f2f-5c19-4e4f-9289-82242194dd8c,01/01/0001
Restaurant Manager- Taiko Asian Restaurant,"Sofitel Dubai The Obelisk, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,Accor,Food & Beverage,"The PositionTo manage the overall operation of the restaurant, following established objectives for the highest standards in professional management and administration as well as in effective and fair",dba34b45-5883-4e5f-8fbc-f355fd3a5209,01/01/0001
Waiter - IRD,"Raffles The Palm Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,RAFFLES,Food & Beverage,"Read daily events, to acknowledge any VIP’s arrivals.Must know all menu items, their garnishes, contents and preparation methods and be able to relay that information to guests in a polite and concise",aa090d8b-429a-4f76-b7d2-9a31f353a97e,01/01/0001
Barista - Turkish / Russian / Spanish Speaker,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,What you will be doing:Maintain available to provide assistance for any matter related to making the stay of the hotel guest a pleasant and memorable oneWelcome guest upon arrivalEscort guest to their,2005c605-d72e-4d9f-b79b-512d6765773d,01/01/0001
Waiter/Waitress,"Fairmont The Palm, The Palm Jumeirah, United Arab Emirates",Entry Level,Full-Time,Permanent,FAIRMONT,Food & Beverage,Greets guests and presents them with the menu.Informs guests about the special items for the day and menu changes if any.Suggest food and beverages to the guest and also try to upsell.Take food and be,020e1b03-0b95-4e1f-beb4-3cdc35e66b2c,01/01/0001
F&B Supervisor,"Movenpick Al Mamzar, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"The RoleTo promote efficiency, confidence, courtesy and an extremely high standard of social skills.To generally promote and ensure good inter-departmental relations.To display a pleasant manner and p",f8a8f77f-e202-4366-a128-e28e7c7d2c63,01/01/0001
Demi Chef De Partie - Italian,"Pullman Dubai Jumeirah Lakes Towers - Hotel & Residence, Pullman Jumeirah Lakes Tower, United Arab Emirates",Executive,Full-Time,Permanent,PULLMAN,Food & Beverage,"Work to the specifications received by the Chef de Partie regarding portion size, quantity and quality as laid down in the recipe index.Responsible for completing the daily checklist regarding mise-e",18562599-a35d-442f-a9c6-8b4d310e7945,01/01/0001
Beverage Manager,"Fairmont Bab Al Bahr - Abu Dhabi, Abu Dhabi, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,FAIRMONT,Food & Beverage,Maintain accurate inventory levels of beverages and supplies.Monitor stock levels and place orders as needed to meet demand.Conduct regular inventory audits to prevent shortages and overstocking.Recru,7b0a4064-a258-4923-8ca1-3a51e0b7c364,01/01/0001
Assistant Restaurant Manager,"Banyan Tree Dubai, Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,BANYAN TREE,Food & Beverage,"Summary 
The Assistant Manager is responsible for overseeing the daily operations of the restaurant, ensuring the highest standards of food and beverage service are maintained. They plan, organize, an",ff82807b-cf8f-4d0e-b7ee-cd071b1db5c3,01/01/0001
Restaurant Manager,"Delano Dubai (Opening October 2024), Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,Delano,Food & Beverage,"Summary 
The Restaurant Manager is responsible for overseeing the daily operations of the restaurant, ensuring the highest standards of food and beverage service are maintained. They plan, organize, a",f43973a7-6118-4d2d-8b93-5bd122c580f5,01/01/0001
Assistant Bar Manager (Flying Elephant),"Novotel Dubai Al Barsha, Dubai, United Arab Emirates",Executive,Full-Time,Permanent,NOVOTEL,Food & Beverage,Always greets and welcomes guests promptly in a warm and friendly manner.Always thanks and gives fond farewell to guests conveying anticipation for their next visit.Assists guest with table reservatio,937d4e16-663c-4823-b5dd-7683d6730c26,01/01/0001
Waitress,"Movenpick Al Mamzar, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"The RoleTo promote efficiency, confidence, courtesy and an extremely high standard of social skills.To generally promote and ensure good inter-departmental relations.To display a pleasant manner and p",b82687c4-ea3d-4eae-94e6-6348185f03df,01/01/0001
Server,"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,25hours Hotels,Food & Beverage,How does your working day look like …You’ll have a complete knowledge of all food & beverage menus / wine lists and other food and beverage products in details and be able to advise guests accordingly,38b07d59-4cd8-487f-bfde-1017baad263e,01/01/0001
Barista (Nomad Day Bar),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,"How does your working day look like …Prepare and serve a variety of coffee beverages, including espresso, cappuccino, latte, and specialty drinks, in accordance with established recipes and standards.",987f4b7e-620c-4584-bb8d-cab531d0a371,01/01/0001
Server (Ernst),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,How does your working day look like …You’ll have a complete knowledge of all food & beverage menus / wine lists and other food and beverage products in details and be able to advise guests accordingly,efc259e0-c4bc-4e46-8785-934959622a3a,01/01/0001
Bartender (Monkey Bar),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,"How does your working day look like …You’ll take care of our guests – hand in glove with your colleagues, and from early till lateYou’ll get everything ready for the shift, and take care to ensure tha",7412c919-ceb9-473b-ae4f-f05e535adcfe,01/01/0001
Outlet Cashier (Monkey Bar),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,"How does your working day look like …Perform returns and special transactions through the POS system, ensuring all special offers have been applied correctly before being charged to the guestKeep the",e5220925-0725-4079-ab05-0edcc9620900,01/01/0001
Server (Nomad Day Bar),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,25hours Hotels,Food & Beverage,How does your working day look like …You’ll have a complete knowledge of all food & beverage menus / wine lists and other food and beverage products in details and be able to advise guests accordingly,c7b52ae6-d978-4657-a017-d2050176e771,01/01/0001
Restaurant Supervisor (Ernst Biergarten),"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Executive,Full-Time,Permanent,25hours Hotels,Food & Beverage,How does your working day look like …You’ll have a complete knowledge of all food & beverage menus / wine lists and other food and beverage products in details and be able to advise guests accordingly,f0b44451-3dc4-4472-ac25-3070abbbc21d,01/01/0001
In Room Dining - Order Taker,"25hours Hotel Dubai One Central, Dubai, United Arab Emirates",Executive,Full-Time,Permanent,25hours Hotels,Food & Beverage,"How does your working day look like …Directly involved in the order taking and order placing process while dealing with guest requests and orders, courteously, efficiently and promptly.To answer phone",1759cb85-9895-48ed-b1c5-4bbcc43e98c9,01/01/0001
Assistant Outlet Manager,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Assist in formulating the Annual Operating Budget for outlet revenues, expenses, and equipment.Ensure monthly forecasted food and beverage revenue targets are met.Adhere to established operating expen",3f91bb13-7b6e-452c-8f4d-fb2ff3bb049f,01/01/0001
Steward,"Raffles Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,RAFFLES,Food & Beverage,"To perform and execute back of the house cleaning and sanitation duties and ensuring the highest standards of cleaning, hygiene and sanitation at all times.DUTIES & RESPONSIBILITIESTo report for duty",549adc71-1655-482b-9743-2632d1beb534,01/01/0001
Hostess,"Majlis Grand Mercure Residence Abu Dhabi, Abu Dhabi, United Arab Emirates",Not Applicable,Full-Time,Permanent,GRAND MERCURE,Food & Beverage,Scope and Objectives   This position is concerned with maintaining the highest level of attentive service to all guests and constantly projecting warmth and friendliness. Maintaining dining reservatio,c7c1f69c-b6c0-45bb-a730-e5aa54bf48b2,01/01/0001
Bartender,"Fairmont Fujairah Beach Resort, Dibba Al-Fujairah, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"What you'll do...Create a fun and relaxed atmosphere where guests come to wind down and enjoy themselvesMake whatever the mood calls for, from soft drinks to masterful cocktails that change with the s",8f6fa88a-5019-4aa6-9929-a32eda5e6a99,01/01/0001
F&B Captain,"Movenpick Al Mamzar, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,MOVENPICK,Food & Beverage,"The Role To promote efficiency, confidence, courtesy and an extremely high standard of social skills.To generally promote and ensure good inter-departmental relations.To display a pleasant manner and",e3b7fc4c-05ee-46c3-b55a-0b278bfb3a35,01/01/0001
F&B Server,"Raffles Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,RAFFLES,Food & Beverage,"PURPOSE OF POSITIONTo work together with the support of colleagues and superiors to create a luxurious and professional F&B experience for our guests. To remain motivated, efficient and guest centric",610b6509-7a6a-4359-80d7-1f2bb43a8318,01/01/0001
Food & Beverage Associate (Flying Elephant),"Novotel Dubai Al Barsha, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,NOVOTEL,Food & Beverage,"As a member of our Team you will be the face of our business, greeting and entertaining our customers in a way that makes them feel welcomed and cared for. Your passion for people will be applied to t",331014dd-25db-4c2d-980a-9f892ab1e657,01/01/0001
Outlet Supervisor - Russian Speaker,"RIXOS RIXOS RESIDENCES DUBAI JEWEL OF THE CREE, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Provide courteous, professional, efficient, and flexible service at all times, following Rixos Standards of Performance.Be entirely flexible and adapt to rotate within different sub-departments of the",66d97794-fa29-47b4-a312-7bf4374a3570,01/01/0001
Shift Leader - Stores,"Mövenpick Hotel & Apartments Bur Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,"Key Deliverables and Responsibilities:Organize the store efficiently and maintain high hygiene standards.Ensure cleanliness in all storage areas, including shelves and chillers.Assist during vegetable",b569cbd3-77c2-45e9-bbd7-34ce403e987d,01/01/0001
Food & Beverage Team Leader,"Grand Mercure Dubai City, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,Accor,Food & Beverage,The efficient running of the food and beverage service function to both meet and exceed customer needs and expectations with a focus on conference & events.Proactively managing and resolving guest com,860ee167-49fb-4a78-80c7-007226cdba6d,01/01/0001
Bar Manager,"Delano Dubai (Opening October 2024), Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,Delano,Food & Beverage,"Summary 
As the Bar Manager, you are at the forefront of creating memorable experiences for our guests. Your role is pivotal in ensuring the smooth operation and success of our bar, where luxury meets",5eaeb812-156c-4863-971d-432bb710cc44,01/01/0001
Pool & Beach Manager,"Delano Dubai (Opening October 2024), Dubai, United Arab Emirates",Mid-Senior Level,Full-Time,Permanent,Delano,Food & Beverage,"Summary 
As the Pool & Beach Manager, you hold a critical position in delivering a luxury experience for our guests. Reporting to the Director of Food & Beverage, you are entrusted with ensuring that",0d82155b-f5b5-45b6-9831-7c8906e0c127,01/01/0001
Bartender,"Fairmont The Palm, The Palm Jumeirah, United Arab Emirates",Associate,Full-Time,Permanent,FAIRMONT,Food & Beverage,Warmly welcoming every guest and establishing a professional connection by respectfully interacting with them and understanding their needsCheck identification of the guest to make sure they meet age,2505776e-782b-4867-8cdc-a28e439d7d32,01/01/0001
Speciality Hostess - F&B,"Banyan Tree Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,BANYAN TREE,Food & Beverage,"SummaryAs a Speciality Hostess at Banyan Tree Dubai, your role is crucial in creating a warm and inviting atmosphere for our guests from the moment they arrive. You'll warmly welcome guests, provide h",b09b5f7c-eb95-44bb-849f-718115f0e205,01/01/0001
Speciality Runner - F&B,"Banyan Tree Dubai, Dubai, United Arab Emirates",Entry Level,Full-Time,Permanent,BANYAN TREE,Food & Beverage,"SummaryAs a Speciality Runner at Banyan Tree Dubai, you play a crucial role in ensuring the smooth flow of food and beverage service to achieve guest satisfaction objectives. Your responsibilities inc",ab998224-172c-4758-9b5c-f8488aa6ff73,01/01/0001
Hostess,"Raffles The Palm Dubai, Dubai, United Arab Emirates",Associate,Full-Time,Permanent,RAFFLES,Food & Beverage,"To provide an appropriate welcome at F&B Outlets for guests. To handle table reservations and effectively control the flow of guests.Provide a warm and friendly welcome, leading guests and seating the",43cec194-27b9-41e6-a30a-41f4cb27f428,01/01/0001
